id,route_id,source,carrier,flight_number,flight_date,booking_window,base_fare,taxes,total_fare,scraped_at,is_outlier,outlier_reason,departure_time,is_nonstop
fare_BOM-DEL_IX_2026-09-08_T+15_1788701811696_2z68,BOM-DEL,EaseMyTrip,IX,IX-1809,2026-09-08,T+15,4939,1084,6023,2026-08-24T00:56:25.668Z,FALSE,"",07:30,FALSE
fare_BOM-DEL_IX_2026-09-08_T+15_1788701811696_cpf0,BOM-DEL,EaseMyTrip,IX,IX-1163,2026-09-08,T+15,5136,1128,6264,2026-08-24T00:56:25.668Z,FALSE,"",20:45,FALSE
fare_BOM-DEL_IX_2026-09-08_T+15_1788701811696_lgey,BOM-DEL,EaseMyTrip,IX,IX-1787,2026-09-08,T+15,5136,1128,6264,2026-08-24T00:56:25.668Z,FALSE,"",13:10,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1788701811696_qpe2,BOM-DEL,EaseMyTrip,6E,6E-5059,2026-09-08,T+15,5036,1106,6142,2026-08-24T00:56:25.668Z,FALSE,"",05:45,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1788701811696_wp7b,BOM-DEL,EaseMyTrip,6E,6E-272,2026-09-08,T+15,5036,1106,6142,2026-08-24T00:56:25.668Z,FALSE,"",01:30,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1788701811696_8iei,BOM-DEL,EaseMyTrip,6E,6E-707,2026-09-08,T+15,5036,1106,6142,2026-08-24T00:56:25.668Z,FALSE,"",01:30,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1788701811696_jj2a,BOM-DEL,EaseMyTrip,6E,6E-5144,2026-09-08,T+15,5036,1106,6142,2026-08-24T00:56:25.668Z,FALSE,"",06:10,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1788701811696_d32l,BOM-DEL,EaseMyTrip,6E,6E-5107,2026-09-08,T+15,5036,1106,6142,2026-08-24T00:56:25.668Z,FALSE,"",20:00,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1788701811696_uyip,BOM-DEL,EaseMyTrip,6E,6E-5201,2026-09-08,T+15,5036,1106,6142,2026-08-24T00:56:25.668Z,FALSE,"",14:55,FALSE
fare_BOM-DEL_SG_2026-09-08_T+15_1788701811696_rfmb,BOM-DEL,EaseMyTrip,SG,SG-447,2026-09-08,T+15,5231,1148,6379,2026-08-24T00:56:25.668Z,FALSE,"",01:50,TRUE
fare_BOM-DEL_SG_2026-09-08_T+15_1788701811696_1bvd,BOM-DEL,EaseMyTrip,SG,SG-637,2026-09-08,T+15,5231,1148,6379,2026-08-24T00:56:25.668Z,FALSE,"",01:50,TRUE
fare_BOM-DEL_SG_2026-09-08_T+15_1788701811696_mpm0,BOM-DEL,EaseMyTrip,SG,SG-108,2026-09-08,T+15,5231,1148,6379,2026-08-24T00:56:25.668Z,FALSE,"",06:25,TRUE
fare_BOM-DEL_SG_2026-09-08_T+15_1788701811696_2tpb,BOM-DEL,EaseMyTrip,SG,SG-618,2026-09-08,T+15,5231,1148,6379,2026-08-24T00:56:25.668Z,FALSE,"",06:25,TRUE
fare_BOM-DEL_SG_2026-09-08_T+15_1788701811696_stt4,BOM-DEL,EaseMyTrip,SG,SG-9090,2026-09-08,T+15,5231,1148,6379,2026-08-24T00:56:25.668Z,FALSE,"",18:00,TRUE
fare_BOM-DEL_SG_2026-09-08_T+15_1788701811696_e0a7,BOM-DEL,EaseMyTrip,SG,SG-418,2026-09-08,T+15,5231,1148,6379,2026-08-24T00:56:25.668Z,FALSE,"",22:30,TRUE
