index_date,frequency,apix_value,base_period_value,raw_weighted_fare,delta_24h,records_sampled,outliers_excluded
2026-08-22,daily,178.99,100,9450.71,0,8495,640
2026-08-24,daily,130.95,100,6913.93,-26.84,1351,192
2026-08-25,daily,129.75,100,6850.93,-0.92,1479,205
2026-08-26,daily,130.06,100,6867.25,0.24,1417,237
2026-08-27,daily,137.73,100,7272,5.9,180,8
2026-08-28,daily,180.82,100,9547.05,31.29,7691,605
2026-08-29,daily,177.65,100,9379.79,-1.75,7535,670
2026-08-30,daily,208.18,100,10992,17.19,158,7
2026-08-31,daily,135.72,100,7166,-34.81,875,82
2026-09-01,daily,174.54,100,9215.95,28.6,9796,878
2026-09-02,daily,174.97,100,9238.25,0.25,8125,645
2026-09-03,daily,130.02,100,6865.02,-25.69,1872,228
2026-09-04,daily,140.17,100,7401.2,7.81,1718,188
2026-09-05,daily,178.94,100,9447.98,27.66,10374,665
2026-09-06,daily,134.59,100,7106.53,-24.78,1344,169
